Name;Breed;DOB;Sex;Neuter;CKD?;Cause CKD;Age at diagnosis CKD;Other reason for mesure;Concurrent conditions;Outcome;Last follow-up;Follow-up time (d);Date of death;Survival (d);Date 1;Weight 1;UPCR1;Crea BQ1;Crea HCV1;Urea1;K1;Phos1;TP1;Alb 1;Biochem1;PCV1;CBC1;BP1;USG1;UA1;Clinical signs1;Duration of clinical signs;Diagnostic work-up1;Urine culture1;Ttmt 1;Date 2;Weight 2;UPCR2;Crea BQ2;Crea HCV2;Urea2;K2;Phos2;TP2;Alb 2;Biochem2;PCV2;CBC2;BP2;USG2;UA2;Clinical signs2;Ttmt 2;Date 3;Weight 3;UPCR3;Crea BQ3;Crea HCV3;Urea3;K3;Phos3;TP3;Alb 3;Biochem3;PCV2;CBC2;BP3;USG3;UA3;Clinical signs3;Ttmt3;Other controls
8368-PEGASO;DSH;21/05/2005;M;Y;Y;;9;;FIV+, gingivitis, periodontitis;No improvement;03/02/2015;60;;;10/12/2014;6;0.028;4.1;;64;3.9;7.7;9.2;;;16.3;;;;;dehydration, anorexia, vomits;1 day;;;Maropitant, marbofloxacine, wet diet;17/12/2014;6;;4;;52;;;;3.1;;27.6;Leukopenia;;;;;marbofloxacine, wet, renal diet;07/01/2015;;0.051;3.5;;46;;;;3.3;"GLUC 114, 
ALT 65, FA 59";24%;"RBC 4,74m/yl
WBC 4,71k/yl, NEU:2,22k/yl";;;;;Wet diet, marbofloxacine;03/02/2015: Crea 3,3, Phos 5,6, Hct 30,5%, WBC: 4,82yg/dl, TP: 9,4 tmt: famotidine, marbofloxacine, Renal diet
3907-GRISSI;DSH;01/04/2003;M;Y;Y;;9;;Hyperthyroidism, FIV;Alive and controlled;18/10/2014;780;;;29/09/2012;5.2;0.014;2.4;;23;;;7.6;3.2;;42.2;Lymphopenia;;1,035;leucosuria;none;;AUS: no morphological alterations;;Wet diet, feline Interferon;23/03/2012;5.09;;1.6;;28;;;7.2;3.2;T4: 4,22yg/dl;24.4;Leukopenia;;;;none;wet diet, metimazole, feline interferón;23/07/2014;5.2;;3.1;;;;;8;3.3;T4 0,41yg/dl;36.6;Leucopenia, lymphopenia;;;;;Wet diet, metimazole, feline interferon;"18/10/2014: BW:5,17// BP: 130// Crea 2,3// Hct: 35%// PT:8,4// T4:1,4// 
Tmt: wet diet, metimazole, feline interferon"
6568-TRICOL;DSH;01/06/2009;M;N;N;;4 months;;FIP sucpected;Dead;18/09/2009;;18/09/2009;4;14/09/2009;1.2;2.31;1.4;;53;;;8.2;2.4;;19;"Leucocitosis, 
neutrophilia";;1,013;;Polydipsia, polyuria, periuria;4 day;AUS: bilateral dilatation of renal pelvis;;Marbofloxacine, benacepril;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8406-SMARTY;DSH;01/06/2013;F;Y;N;;1;;;Alive;21/03/2014;;;;14/01/2014;3.2;0.25;1.9;;;;;;;;;;;;;;;;;;14/02/2014;;;1.6;;28;;;;;;;;;;;;;21/03/2014;;<0,4;;;;;;;;;;;;;;;;
8397-HEIDI;DSH;01/04/2002;F;Y;N;;12;;;Alive;11/04/2016;;;;07/05/2014;5;0.04;0;;;;;;;T4:2,34;;;;;DU: 1.025, pH6, Proteinuria, Bilirrubinuria;;;;;;11/014/16;3.6;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6981-BONITA;DSH;25/12/2003;F;Y;N;;2;;;Alive;15/06/2018;;;;17/12/2015;7.4;0.36;1.6;;29;;5.2;;3.3;Glu:535;;;;;;;;;;;25/04/2014;8;0.36;2.1;;29;4.3;;;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;
9125-JAS;DSH;15/01/2001;M;Y;Y;;15;;;Alive;05/01/2016;;;;05/01/2016;3.58;0.68;3.1;;70;;6.9;;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7491-PAPAYA;DSH;15/09/2007;F;N;Y;;9;;;Alive;12/01/2016;;;;12/01/2016;4.18;0.02;2.6;;33;;;;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6864-ARUA;DSH;15/08/2009;F;Y;Y;;7;;;Alive;16/03/2018;;;;29/01/2016;4.23;0.16;1.8;;19;;3.8;;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3422-OFELIA;DSH;15/09/2000;F;Y;Y;;16;;;Alive;06/04/2018;;;;09/02/2016;3.6;0.06;3.4;;38;;4.9;;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9293-ZAR;Siamese;01/08/2003;M;Y;Y;;13;;;Alive;11/04/2017;;;;11/04/2017;3.7;0.11;4;;61;;;;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9622-KOKOA;DSH;25/03/2016;M;Y;N;;1;;;Alive;15/04/2017;;;;15/04/2017;6.2;<0,1;1.4;;19;;;7.4;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9173-CANELA;DSH;01/03/2002;F;Y;N;;14;;;Alive;28/04/2017;;;;29/02/2016;2.7;0.52;1.3;;20;;4;;2.7;;;;;;;;;;;;07/12/2016;2.94;6.38;;;>130;;>16;9.6;0.5;glob:6,6;;;;;;;;;;;;;;;;;;;;;;;;;;
8510-SETI;bosque siberia;15/04/2012;M;y;N;;2;;;Alive;13/10/2016;;;;07/03/2016;4.3;0.04;;;;;;;;;;;;;;;;;;;13/10/2016;3.85;0.06;2.1;;28;;3.8;;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
8220-SALSA;DSH;15/09/2002;F;Y;N;;13;;;Alive;18/10/2016;;;;19/07/2013;;0.029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6961-MAX;DSH;15/10/2009;M;Y;Y;;9;;;Alive;06/06/2018;;;;06/06/2018;5.1;0.36;>13,6;;>130;;13.2;9.2;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6834-NICEA;DSH;01/04/2007;F;Y;Y;;11;;;Alive;13/06/2018;;;;13/06/2018;4.5;0.16;2.5;;40;;4.6;10.1;3.5;SDMA:24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9158-BUBI;DSH;15/05/2004;F;Y;Y;;13;;;Alive;06/04/2017;;;;04/04/2017;;0.26;12;;>130;5.2;>16,1;7.6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9209-MICHI;DSH;05/04/2001;F;Y;N;;15;;;Alive;07/04/2016;;;;07/04/2016;3.17;0.26;1.6;;31;3.7;3.6;;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10176-GRETA;DSH;15/06/2014;F;Y;Y;;4;;;Alive;05/09/2018;;;;05/09/2018;4.6;0.26;1.85;;26;3;5.4;8.9;3;SDMA:12 GLU:170 GLOB:5,9;;;145;1050;;VOMITING, HIPOREXIA, WEIGHTLOSS;unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10096- PITUFO;Siamese;10/05/2018;M;Y;Y;;10;;Digestive disease;Alive;05/09/2018;;;;10/07/2018;6.9;0.53;2.7;;42;;6;10.1;3.9;GLOB: 6,2;;ERYTHROCYTOSIS;;1020;;VOMITING, HIPOREXIA, WEIGHTLOSS;1 Week;AUS:irregular kidney, loss of cortical definition;;telmisartan, maropitant;28/07/2017;7.1;0.12;3.5;;;;3.7;8.4;;SDMA:12;;;;;;Changes water intake, eat less.;telmisartan, maropitant, mirtazapina;;;;;;;;;;;;;;;;;;;
9221-MORGANA;DSH;05/06/2014;F;Y;N;;;;;Alive;29/04/2017;;;;29/04/2017;3.12;0.03;;;;;;;;;;;;1033;;hematuria;2 days;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9614-ALMIRANTE;DSH;01/03/2004;M;Y;Y;;13;;Digestive disease, Asma;Alive;09/05/2017;;;;09/05/2017;;0.06;1.6;;;;4.4;8.1;3.2;GLOB: 4,9;;;;1042;;;;AUS: Left Kidney enlarged with thickening of the cortex (0,7 cm) Rigth kidney. Right kidney atrophied;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7856- LAKSHMI;Sacred of Burma;12/04/2012;F;Y;Y;;5;;;Alive;08/08/2018;;;;09/06/2017;;0.1;13.5;;;6.5;12;9.2;3.4;GLOB: 5,8 ;;;;1018;;VOMITING;2 DAYS;AUS:irregular kidney, loss of cortical definition;;Maropitant, marbofoxacino, cerenia, fluidtherapy;18/06/2017;3.5;;2.5;;;2.5;6.4;7.4;2.9;"HC0318,9;PC02 40,0;Tc02 20,1";;;;;;vomiting, hyporexia;Fluidtherapy, potassium supplement, cerenia, buprenorfina, dexametasona;28/07/2017;;;2.9;;;;3.9;;;;;;;;;;;
9739-RAMON;DSH;15/04/2007;M;Y;Y;;10;;PERIODONTITIS;Alive;30/06/2018;;;;03/08/2017;;0.51;2.6;;;;;8.2;3.5;GLOB:4,7;;;;1040;;VOMITING;1 WEEK;AUS:irregular kidney, loss of cortical definition;;;29/06/2018;6.5;;3.4;;;;3.4;;;fPLI positive;;;;;;hyporexia;Bupremorfina, maropitant, dexametasona;;;;;;;;;;;;;;;;;;;
8993-KYRA;PERSIAN;27/07/2014;F;Y;Y;;3;;;Alive;09/09/2017;;;;01/08/2017;2.71;1.36;3;;;4.6;7;;;FRUC:207;;;;1020;;vomiting, decayed, discouraging, hyporexia;5 dias;AUS: Right kidney, dilated renal pelvis with dilated ureter ;escherichia coli;"fluidtherapy, antibiotic-therapy,
cerenia, wet diet, benaceprilo,  calcium carbonate and magnesium carbonate";01/09/2017;2880;0.22;3.1;;;;5.9;7.5;3;GLOB:4,6;;;;;;;;;;;;;;;;;;;;;;;;;;
9681-ARIEL;DSH;10/01/2006;M;Y;Y;;10;;CRONIC CONSTIPATION;Alive;21/06/2018;;;;02/09/2017;4.25;0.05;1.5;;;;5.2;8.8;3.1;;;;;1030;;;;AUS: OK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9773-TARZAN;DSH;23-Jan;M;Y;N;;;;;Alive;09/09/2017;;;;05/09/2017;6.89;0.09;2.4;;;4.5;5.2;8.5;3.3;FRUC:242,TT4 2.1, fPLI positive;;LYMPHOCYTOSIS;;1015;;VOMITING, DRINKING MORE WATER;1 WEEK;AUS: OK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9174-PANCHO;DSH;05/03/2011;M;Y;Y;;5;;;Alive;09/09/2017;;;;20/02/2017;;2.94;2.1;;;;5;9.2;7;;;ANEMIA;;;;VOMITING, ANOREXIA;;AUS: LOST OF CORTICAL DEFINITION;;fluidtherapy, antibiotic-therapy, cerenia,ceftriosona, metronidazol;09/09/2017;;3.15;4.6;;;;;12;2.5;GLOB: 9,5;;ANEMIA, LEUKOPENIA;;;;EAT LESS, APATHETIC;Fuidtherapy, benaceprilo, maropitant;;;;;;;;;;;;;;;;;;;
9833-REMO;DSH;01/02/2014;M;Y;Y;URETERAL LITIASIS;3;;;Alive;19/07/2018;;;;30/10/2017;;0.04;3.2;;;;4;6.7;2.8;GLOB: 3,9;;ANEMIA LEUCOPENIA;;1025;;VOMITING;2 WEEKS;AUS: RENAL LITHIASIS;;OMEPRAZOL, MAROPITANT, CALCIUM CARBONATE AND MAGNESIUM CARBONATE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6831-MEAD;Siamese;09/01/2007;M;Y;Y;;10;;;Alive;;;;;26/12/2017;4.31;0.45;2.6;;;;;9;;GLOB: 6,1;FPLI POSITIVE;;;1020;HEMATURIA;WEIGHT LOSS;MONTHS;AUS: BILATERAL DILATATION OF RENAL PELVIS;E. COLI;BENACEPRILO, MARBOFLOXACINE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9236-LUNA;DSH;15/05/2002;F;Y;Y;;;;;Alive;;;;;23/01/2018;2.7;0.12;2.3;;;;5.3;6.8;2.9;GLOB: 3,9;;;;1020;;Excessive vocalization;;AUS: irregular kidney, loss of cortical definition;;BUPRENORFINA, MARBOFLOXACINE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8027- DRAKO;Russian blue;01/04/2009;M;Y;N;;;;;Alive;12/03/2018;;;;12/03/2018;7.16;0.07;2;;;;3.3;7.4;3;GLOB:4,4;;;;1050;HEMATURIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9007-LULA;DHS;24/09/2004;F;Y;Y;;12;;IBD;Alive;30/04/2018;;;;13/03/2018;2.84;0.04;0.8;;;4.1;9.2;8;3.1;GLOB: 4,8;;;155;1023;leucosuria;VOMITING, ANOREXIA, EXCESSIVE VOCALIZATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9989-CLARA;Siamese;14/11/2004;F;Y;Y;;14;;;Alive;13/04/2018;;;;13/04/2018;;0.29;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8728-HUEVON;DHS;19/04/2003;M;Y;Y;;7;;;Alive;04/06/2018;;;;04/06/2018;4.67;0.18;2.1;;;;;8.7;3.1;GLOB: 5,6 tt4: 2,0;;;;;;VOMITING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8287-BENJI;DHS;12/04/2010;M;Y;Y;;8;;;Alive;29/06/2018;;;;29/06/2018;2.82;0.96;3.3;;;;10;8.7;3.1;GLOB: 5,7;;;;1015;;;;AUS: Bilateral irregular kidney, loss of cortical definition;;diet calcium carbonate and magnesium  carbonate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7505-RUFO;DHS;16/08/2011;M;Y;Y;;1;;;Alive;23/08/2018;;;;02/12/2018;4.38;0.1;2.4;;;;4.8;7.1;3;GLOB:4,1;;;;1050;;;;AUS:Right kidney dilated renal pelvis, left kidney loss of corticomedular definition;;RENAL DIET;15/06/2018;4.1;0.06;2.3;;;;3.4;7.2;3.3;GLOB: 4;;LEUKOPENIA, NEUTROPENIA;;1037;;;;;;;;;;;;;;;;;;;;;;
10081-BOB;DHS;15/05/2016;M;Y;Y;;2;;;Alive;06/08/2018;;;;28/06/2018;;0.99;3.8;;;;8.4;7.8;2.7;GLOB: 5,1;;ANEMIA;;1022;LEUCOSURIA;;;AUS: Bilateral loss of cortical definition. Left kidney with dilated renal pelvis;;MARBOFLOXACINE, MAROPITANT, DEXAMETASONA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8930-LUNIS;DSH;01/06/2004;F;N;Y;;11;;FIV;Dead;25/06/2015;;;;25/06/2015;1.9;11.25;2.9;;;;4.5;;2.2;;;ANEMIA, NEUTROPHILIA;;;;;;AUS: OK;;MIRTAZAPINE, MARBOFLOXACINE, MAROPITANT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8974-MINA;DHS;15/05/2002;F;Y;Y;;10;;;dead;19/08/2015;;20/09/2015;;18/08/2015;1.5;1.18;7.7;;;;16.1;;;;;ANEMIA LEUCOPENIA;;1010;;SHOCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9975-PETER;DSH;15/06/2014;M;Y;Y;;4;;;Alive;08/08/2018;;;;02/08/2018;5.6;0.17;2.4;;57;;5.3;8.5;3.4;glob:5,2;;; ;;DU: 1025 PH:5,5 LEU:POS BLOOD:POS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6068-TRITON;DSH;15/07/2008;M;Y;Y;;8;;;Alive;17/02/2016;;;;17/02/2016;7.12;0.04;;;22;;4.3;7;2.9;;;;;;DU: 1025  LEU:POS BLOOD:POS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9220-MAGUI;DSH;20/02/2001;F;Y;Y;;15;;;Alive;25/04/2016;;;;25/04/2016;2.12;3.43;4.9;;93;;16.1;;;Glu: 182;;;;;DU: 1015 LEU: POSI BILIRRU: POSI SANGRE: POS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9226-LUISILLO;Siamese;03/05/2008;M;Y;Y;;8;;;Alive;14/05/2016;;;;04/05/2016;3.8;0.33;7.7;;121;4.1;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8858-LOBA;DSH;01/05/2012;F;Y;Y;;4;;;Alive;30/11/2016;;;;26/09/2016;3.02;0.33;2.4;;27;;3.7;9;2.9;;;;;;DU: 1030 BIL: POS SANGRE: POS PROT: POS;;;;;;30/11/2016;;2.38;>10;;130;;>16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9275-NERÓN;DSH;05/01/2008;M;Y;Y;;8;;;Alive;03/07/2018;;;;25/06/2016;6.7;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5815-NOA;DSH;01/02/2008;F;Y;Y;;8;;;Alive;05/05/2018;;;;09/08/2016;3.95;0.36;2.2;;18;;3.3;;;;;;;;DU:1012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5648-SUAVE;DSH;23/01/2008;M;Y;Y;;8;;;Alive;06/10/2016;;;;15/09/2016;5.4;0.61;3;;51;;;;;;;;;;DU: 1020;;;;;;05/10/2016;;2.34;3.1;;47;;;;;;;;;;PROT: POS;;;;;;;;;;;;;;;;;;;;;
8509-ORIÓN;Siamese;01/04/2004;M;Y;Y;;13;;;Alive;17/04/2017;;;;06/03/2017;;0.11;1.9;;42;;;8.9;3.3;Glu:173;;;;;DU: 1040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9388-LUNI;DSH;01/01/2008;F;Y;Y;;8;;;Alive;;;;;29/10/2016;3.78;0.05;1.5;;20;;;;3.4;;;;;;DU:1050 LEUCOSURIA, BILIRRUBINA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7211- TYRA;DSH;30/07/2010;F;Y;Y;;4;;;Alive;29/12/2017;;;;16/10/2014;;0.85;2.8;;;;;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9036-JOGUIE;DSH;15/06/2009;M;Y;Y;;6;;;Alive;23/12/2016;;;;18/12/2015;4.46;1.72;2.4;;41;3.7;5.2;;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9546-RON;DSH;01/03/2007;M;Y;Y;;10;;;Alive;11/04/2017;;;;13/01/2017;6.8;0.69;1.6;;46;;3;;;alkp:122 Glucosa: 540 fructosamina:926,6;;;;;DU:1035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9599-ROMEO;Russian blue;16/06/2013;M;Y;Y;;4;;;Alive;08/04/2017;;;;15/03/2017;4.5;0.05;2.4;;38;;;7.9;3.5;;;;;;DU:1040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9515-PIPO;DSH;01/12/2009;M;Y;Y;;8;;;Alive;05/04/2017;;;;24/03/2017;4.5;0.51;2.4;;52;;6.4;7.8;3;SDMA: 14;;;;;DU: 1028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8731-RICO;DSH;01/01/2011;M;Y;Y;;4;;;Alive;28/01/2016;;;;08/01/2015;7.5;<0,1;1.8;;24;;;;3.4;;;LIGERA LEUCOPENIA;;1060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8987-PACHI;DHS;01/08/2005;M;Y;Y;;7;;;ALIVE;05/09/2015;;;;25/08/2015;6.6;0.6;2.2;;;;4;;;;;;;1028;;urinate on vertical surfaces;;AUS: LITIASIS RENAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
